epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1972.82,1.04749,0.51082,0.11368,0.44756,0.58165,0.398,0.13715,0.85025,0.59245,0.06732,6.43101e-05,6.43101e-05,6.43101e-05
43,2022.35,1.05527,0.53555,0.11121,0.35371,0.53846,0.38544,0.12995,0.86448,0.60468,0.06888,6.28101e-05,6.28101e-05,6.28101e-05
44,2068.28,0.98857,0.55182,0.10468,0.39739,0.53846,0.34762,0.12555,0.81733,0.61863,0.06711,6.12981e-05,6.12981e-05,6.12981e-05
45,2114.23,1.00695,0.52061,0.09944,0.33441,0.54701,0.33057,0.13751,0.85842,0.57978,0.07376,5.97754e-05,5.97754e-05,5.97754e-05
46,2163.11,1.10464,0.50758,0.12366,0.40858,0.48718,0.3774,0.13768,0.86722,0.55553,0.06715,5.82435e-05,5.82435e-05,5.82435e-05
47,2212.93,1.0767,0.49196,0.12598,0.41445,0.48399,0.37514,0.13239,0.88438,0.55719,0.06766,5.6704e-05,5.6704e-05,5.6704e-05
48,2258.92,1.17556,0.45824,0.13511,0.39202,0.48718,0.37969,0.13363,0.92076,0.53927,0.07745,5.51584e-05,5.51584e-05,5.51584e-05
49,2304.42,1.00628,0.52419,0.09908,0.39132,0.52137,0.3976,0.14769,0.91609,0.54052,0.07632,5.36081e-05,5.36081e-05,5.36081e-05
50,2350.96,1.04847,0.48728,0.11903,0.40202,0.52291,0.37758,0.13837,0.87279,0.55613,0.06762,5.20548e-05,5.20548e-05,5.20548e-05
51,2397.92,1.01445,0.53672,0.10633,0.43445,0.51214,0.41164,0.15377,0.91316,0.55784,0.07544,5.05e-05,5.05e-05,5.05e-05
52,2450.59,1.00413,0.52162,0.10422,0.37513,0.55556,0.43777,0.16305,0.89086,0.55062,0.07479,4.89452e-05,4.89452e-05,4.89452e-05
53,2498.13,0.99158,0.5212,0.10922,0.43326,0.60114,0.44541,0.1675,0.8485,0.57076,0.07215,4.73919e-05,4.73919e-05,4.73919e-05
54,2545.73,1.05849,0.50723,0.11829,0.38483,0.57746,0.4584,0.16386,0.8152,0.59152,0.06966,4.58416e-05,4.58416e-05,4.58416e-05
55,2591.37,0.93617,0.55005,0.09666,0.49791,0.61538,0.54264,0.20126,0.84691,0.56086,0.07061,4.4296e-05,4.4296e-05,4.4296e-05
56,2639.07,0.99418,0.53956,0.10421,0.49044,0.54295,0.5454,0.21219,0.78359,0.59795,0.06596,4.27565e-05,4.27565e-05,4.27565e-05
57,2686.81,0.96535,0.55422,0.10617,0.41622,0.52137,0.42947,0.15848,0.79533,0.59455,0.05719,4.12246e-05,4.12246e-05,4.12246e-05
